,Year,DistrictName,EstTotalAcres,GeneralCause,County,Population_Estimate
0,2010,Forest Grove,0.01,Recreation,COLUMBIA,49353
1,2010,Forest Grove,0.1,Equipment Use,COLUMBIA,49353
2,2010,Forest Grove,0.01,Equipment Use,COLUMBIA,49353
3,2010,Forest Grove,0.01,Equipment Use,COLUMBIA,49353
4,2010,Forest Grove,0.01,Juveniles,COLUMBIA,49353
5,2010,Forest Grove,0.25,Debris Burning,COLUMBIA,49353
6,2010,Forest Grove,0.2,Equipment Use,COLUMBIA,49353
7,2010,Forest Grove,0.01,Juveniles,COLUMBIA,49353
8,2010,Forest Grove,0.01,Equipment Use,COLUMBIA,49353
9,2010,Forest Grove,0.01,Lightning,COLUMBIA,49353
10,2010,Forest Grove,0.01,Debris Burning,COLUMBIA,49353
11,2010,West Oregon,0.14,Recreation,BENTON,85577
12,2010,West Oregon,0.01,Equipment Use,BENTON,85577
13,2010,West Oregon,0.01,Equipment Use,BENTON,85577
14,2010,Southwest Oregon,0.1,Lightning,JACKSON,203357
15,2010,Southwest Oregon,0.01,Equipment Use,JACKSON,203357
16,2010,Southwest Oregon,0.1,Lightning,JACKSON,203357
17,2010,Southwest Oregon,0.25,Lightning,JACKSON,203357
18,2010,Southwest Oregon,0.3,Recreation,JACKSON,203357
19,2010,Southwest Oregon,0.25,Lightning,JACKSON,203357
20,2010,Southwest Oregon,6.13,Lightning,JACKSON,203357
21,2010,Southwest Oregon,0.25,Lightning,JACKSON,203357
22,2010,Southwest Oregon,2.0,Lightning,JACKSON,203357
23,2010,Southwest Oregon,2.0,Lightning,JACKSON,203357
24,2010,Southwest Oregon,0.01,Lightning,JACKSON,203357
25,2010,Southwest Oregon,0.25,Equipment Use,JACKSON,203357
26,2010,Southwest Oregon,0.01,Recreation,JACKSON,203357
27,2010,Southwest Oregon,0.01,Equipment Use,JACKSON,203357
28,2010,Southwest Oregon,0.5,Lightning,JACKSON,203357
29,2010,Southwest Oregon,0.1,Equipment Use,JACKSON,203357
30,2010,Southwest Oregon,0.25,Lightning,JACKSON,203357
31,2010,Southwest Oregon,0.25,Lightning,JACKSON,203357
32,2010,Southwest Oregon,0.01,Debris Burning,JACKSON,203357
33,2010,Southwest Oregon,0.1,Lightning,JACKSON,203357
34,2010,Southwest Oregon,0.25,Equipment Use,JACKSON,203357
35,2010,Southwest Oregon,0.1,Miscellaneous,JACKSON,203357
36,2010,Southwest Oregon,0.01,Juveniles,JACKSON,203357
37,2010,Southwest Oregon,0.25,Smoking,JACKSON,203357
38,2010,Southwest Oregon,0.01,Debris Burning,JACKSON,203357
39,2010,Southwest Oregon,0.25,Lightning,JACKSON,203357
40,2010,Southwest Oregon,0.01,Lightning,JACKSON,203357
41,2010,Southwest Oregon,0.01,Juveniles,JACKSON,203357
42,2010,Southwest Oregon,321.0,Miscellaneous,JACKSON,203357
43,2010,Southwest Oregon,0.1,Debris Burning,JACKSON,203357
44,2010,Southwest Oregon,0.01,Lightning,JACKSON,203357
45,2010,Southwest Oregon,0.01,Lightning,JACKSON,203357
46,2010,Southwest Oregon,0.25,Lightning,JACKSON,203357
