Year,County,Population_Estimate,State,Country
2010,BAKER ,16116,OREGON,USA
2011,BAKER ,16069,OREGON,USA
2012,BAKER ,16001,OREGON,USA
2013,BAKER ,16027,OREGON,USA
2014,BAKER ,16030,OREGON,USA
2015,BAKER ,15899,OREGON,USA
2016,BAKER ,15971,OREGON,USA
2017,BAKER ,16049,OREGON,USA
2018,BAKER ,16024,OREGON,USA
2019,BAKER ,16123,OREGON,USA
2020,BAKER ,16284,OREGON,USA
2010,BENTON ,85577,OREGON,USA
2011,BENTON ,86281,OREGON,USA
2012,BENTON ,86708,OREGON,USA
2013,BENTON ,86228,OREGON,USA
2014,BENTON ,87296,OREGON,USA
2015,BENTON ,88443,OREGON,USA
2016,BENTON ,90053,OREGON,USA
2017,BENTON ,91923,OREGON,USA
2018,BENTON ,92511,OREGON,USA
2019,BENTON ,93114,OREGON,USA
2020,BENTON ,93239,OREGON,USA
2010,CLACKAMAS ,376799,OREGON,USA
2011,CLACKAMAS ,379640,OREGON,USA
2012,CLACKAMAS ,383159,OREGON,USA
2013,CLACKAMAS ,387571,OREGON,USA
2014,CLACKAMAS ,393544,OREGON,USA
2015,CLACKAMAS ,399852,OREGON,USA
2016,CLACKAMAS ,407055,OREGON,USA
2017,CLACKAMAS ,412982,OREGON,USA
2018,CLACKAMAS ,415586,OREGON,USA
2019,CLACKAMAS ,418199,OREGON,USA
2020,CLACKAMAS ,421596,OREGON,USA
2010,CLATSOP ,37097,OREGON,USA
2011,CLATSOP ,37241,OREGON,USA
2012,CLATSOP ,37435,OREGON,USA
2013,CLATSOP ,37143,OREGON,USA
2014,CLATSOP ,37491,OREGON,USA
2015,CLATSOP ,37848,OREGON,USA
2016,CLATSOP ,38732,OREGON,USA
2017,CLATSOP ,39185,OREGON,USA
2018,CLATSOP ,39730,OREGON,USA
2019,CLATSOP ,40208,OREGON,USA
2020,CLATSOP ,40423,OREGON,USA
2010,COLUMBIA ,49353,OREGON,USA
2011,COLUMBIA ,49408,OREGON,USA
2012,COLUMBIA ,49220,OREGON,USA
2013,COLUMBIA ,49271,OREGON,USA
2014,COLUMBIA ,49513,OREGON,USA
2015,COLUMBIA ,49671,OREGON,USA
2016,COLUMBIA ,50939,OREGON,USA
2017,COLUMBIA ,51749,OREGON,USA
2018,COLUMBIA ,52408,OREGON,USA
2019,COLUMBIA ,52614,OREGON,USA
2020,COLUMBIA ,52876,OREGON,USA
2010,COOS ,63010,OREGON,USA
2011,COOS ,62789,OREGON,USA
2012,COOS ,62697,OREGON,USA
2013,COOS ,62409,OREGON,USA
2014,COOS ,62403,OREGON,USA
2015,COOS ,62696,OREGON,USA
